COD;CCAA_GH;CCAA;Zona;CCAA_MR;#POB;#SUP
0;Total;Total Nacional;Total;Total;47100399;505989
1;Andalucía;Andalucía;Sur;Andalusia;8446561;87599
2;Aragón;Aragón;Este;Aragon;1324397;47720
3;Asturias;Principado de Asturias;Norte;Asturias;1019993;10604
4;Baleares;Islas Baleares;Este;Balearic Islands;1198576;4992
5;Canarias;Islas Canarias;Sur;Canary Islands;2220270;7447
6;Cantabria;Cantabria;Norte;Cantabria;581949;5321
7;Castilla y León;Castilla y León;Oeste;Castile and LeÃ³n;2038440;94224
8;Castilla-La Mancha;Castilla-La Mancha;Centro;Castile-La Mancha;2402877;79461
9;Cataluña;Cataluña;Este;Catalonia;7609499;32113
10;C. Valenciana;Comunidad Valenciana;Este;Valencian Community;4998711;23255
11;Extremadura;Extremadura;Oeste;Extremadura;1062797;41634
12;Galicia;Galicia;Norte;Galicia;2698764;29575
13;Madrid;Comunidad de Madrid;Centro;Community of Madrid;6685471;8028
14;Murcia;Región de Murcia;Sur;Region of Murcia;1494442;11314
15;Navarra;Navarra;Norte;Navarre;652526;10391
16;País Vasco;País Vasco;Norte;Basque Country;2181919;7234
17;La Rioja;La Rioja;Norte;La Rioja;314487;5045
18;Ceuta;Ceuta;Sur;Ceuta;84434;20
19;Melilla;Melilla;Sur;Melilla;84286;12
