COD;Fecha;FechaNum;Mes;Año;MesAño;Month;MonthYear
ENE2019;01/01/2019;43466;Enero;2019;Ene-19;January;Jan-19
FEB2019;01/02/2019;43497;Febrero;2019;Feb-19;February;Feb-19
MAR2019;01/03/2019;43525;Marzo;2019;Mar-19;March;Mar-19
ABR2019;01/04/2019;43556;Abril;2019;Abr-19;April;Apr-19
MAY2019;01/05/2019;43586;Mayo;2019;May-19;May;May-19
JUN2019;01/06/2019;43617;Junio;2019;Jun-19;June;Jun-19
JUL2019;01/07/2019;43647;Julio;2019;Jul-19;July;Jul-19
AGO2019;01/08/2019;43678;Agosto;2019;Ago-19;August;Aug-19
SEP2019;01/09/2019;43709;Septiembre;2019;Sep-19;September;Sep-19
OCT2019;01/10/2019;43739;Octubre;2019;Oct-19;October;Oct-19
NOV2019;01/11/2019;43770;Noviembre;2019;Nov-19;November;Nov-19
DIC2019;01/12/2019;43800;Diciembre;2019;Dic-19;December;Dec-19
ENE2020;01/01/2020;43831;Enero;2020;Ene-20;January;Jan-20
FEB2020;01/02/2020;43862;Febrero;2020;Feb-20;February;Feb-20
MAR2020;01/03/2020;43891;Marzo;2020;Mar-20;March;Mar-20
ABR2020;01/04/2020;43922;Abril;2020;Abr-20;April;Apr-20
MAY2020;01/05/2020;43952;Mayo;2020;May-20;May;May-20
JUN2020;01/06/2020;43983;Junio;2020;Jun-20;June;Jun-20
JUL2020;01/07/2020;44013;Julio;2020;Jul-20;July;Jul-20
AGO2020;01/08/2020;44044;Agosto;2020;Ago-20;August;Aug-20
SEP2020;01/09/2020;44075;Septiembre;2020;Sep-20;September;Sep-20
OCT2020;01/10/2020;44105;Octubre;2020;Oct-20;October;Oct-20
NOV2020;01/11/2020;44136;Noviembre;2020;Nov-20;November;Nov-20
DIC2020;01/12/2020;44166;Diciembre;2020;Dic-20;December;Dec-20
ENE2021;01/01/2021;44197;Enero;2021;Ene-21;January;Jan-21
FEB2021;01/02/2021;44228;Febrero;2021;Feb-21;February;Feb-21
MAR2021;01/03/2021;44256;Marzo;2021;Mar-21;March;Mar-21
ABR2021;01/04/2021;44287;Abril;2021;Abr-21;April;Apr-21
MAY2021;01/05/2021;44317;Mayo;2021;May-21;May;May-21
JUN2021;01/06/2021;44348;Junio;2021;Jun-21;June;Jun-21
JUL2021;01/07/2021;44378;Julio;2021;Jul-21;July;Jul-21
AGO2021;01/08/2021;44409;Agosto;2021;Ago-21;August;Aug-21
SEP2021;01/09/2021;44440;Septiembre;2021;Sep-21;September;Sep-21
OCT2021;01/10/2021;44470;Octubre;2021;Oct-21;October;Oct-21
NOV2021;01/11/2021;44501;Noviembre;2021;Nov-21;November;Nov-21
DIC2021;01/12/2021;44531;Diciembre;2021;Dic-21;December;Dec-21
ENE2022;01/01/2022;44562;Enero;2022;Ene-22;January;Jan-22
FEB2022;01/02/2022;44593;Febrero;2022;Feb-22;February;Feb-22
MAR2022;01/03/2022;44621;Marzo;2022;Mar-22;March;Mar-22
ABR2022;01/04/2022;44652;Abril;2022;Abr-22;April;Apr-22
MAY2022;01/05/2022;44682;Mayo;2022;May-22;May;May-22
JUN2022;01/06/2022;44713;Junio;2022;Jun-22;June;Jun-22
JUL2022;01/07/2022;44743;Julio;2022;Jul-22;July;Jul-22
AGO2022;01/08/2022;44774;Agosto;2022;Ago-22;August;Aug-22
SEP2022;01/09/2022;44805;Septiembre;2022;Sep-22;September;Sep-22
OCT2022;01/10/2022;44835;Octubre;2022;Oct-22;October;Oct-22
NOV2022;01/11/2022;44866;Noviembre;2022;Nov-22;November;Nov-22
DIC2022;01/12/2022;44896;Diciembre;2022;Dic-22;December;Dec-22
ENE2023;01/01/2023;44927;Enero;2023;Ene-23;January;Jan-23
FEB2023;01/02/2023;44958;Febrero;2023;Feb-23;February;Feb-23
MAR2023;01/03/2023;44986;Marzo;2023;Mar-23;March;Mar-23
ABR2023;01/04/2023;45017;Abril;2023;Abr-23;April;Apr-23
MAY2023;01/05/2023;45047;Mayo;2023;May-23;May;May-23
JUN2023;01/06/2023;45078;Junio;2023;Jun-23;June;Jun-23
JUL2023;01/07/2023;45108;Julio;2023;Jul-23;July;Jul-23
AGO2023;01/08/2023;45139;Agosto;2023;Ago-23;August;Aug-23
SEP2023;01/09/2023;45170;Septiembre;2023;Sep-23;September;Sep-23
OCT2023;01/10/2023;45200;Octubre;2023;Oct-23;October;Oct-23
NOV2023;01/11/2023;45231;Noviembre;2023;Nov-23;November;Nov-23
DIC2023;01/12/2023;45261;Diciembre;2023;Dic-23;December;Dec-23
ENE2024;01/01/2024;45292;Enero;2024;Ene-24;January;Jan-24
FEB2024;01/02/2024;45323;Febrero;2024;Feb-24;February;Feb-24
MAR2024;01/03/2024;45352;Marzo;2024;Mar-24;March;Mar-24
ABR2024;01/04/2024;45383;Abril;2024;Abr-24;April;Apr-24
MAY2024;01/05/2024;45413;Mayo;2024;May-24;May;May-24
JUN2024;01/06/2024;45444;Junio;2024;Jun-24;June;Jun-24
JUL2024;01/07/2024;45474;Julio;2024;Jul-24;July;Jul-24
AGO2024;01/08/2024;45505;Agosto;2024;Ago-24;August;Aug-24
SEP2024;01/09/2024;45536;Septiembre;2024;Sep-24;September;Sep-24
OCT2024;01/10/2024;45566;Octubre;2024;Oct-24;October;Oct-24
NOV2024;01/11/2024;45597;Noviembre;2024;Nov-24;November;Nov-24
DIC2024;01/12/2024;45627;Diciembre;2024;Dic-24;December;Dec-24
ENE2025;01/01/2025;45658;Enero;2025;Ene-25;January;Jan-25
FEB2025;01/02/2025;45689;Febrero;2025;Feb-25;February;Feb-25
MAR2025;01/03/2025;45717;Marzo;2025;Mar-25;March;Mar-25
ABR2025;01/04/2025;45748;Abril;2025;Abr-25;April;Apr-25
MAY2025;01/05/2025;45778;Mayo;2025;May-25;May;May-25
JUN2025;01/06/2025;45809;Junio;2025;Jun-25;June;Jun-25
JUL2025;01/07/2025;45839;Julio;2025;Jul-25;July;Jul-25
AGO2025;01/08/2025;45870;Agosto;2025;Ago-25;August;Aug-25
SEP2025;01/09/2025;45901;Septiembre;2025;Sep-25;September;Sep-25
OCT2025;01/10/2025;45931;Octubre;2025;Oct-25;October;Oct-25
NOV2025;01/11/2025;45962;Noviembre;2025;Nov-25;November;Nov-25
DIC2025;01/12/2025;45992;Diciembre;2025;Dic-25;December;Dec-25
ENE2026;01/01/2026;46023;Enero;2026;Ene-26;January;Jan-26
FEB2026;01/02/2026;46054;Febrero;2026;Feb-26;February;Feb-26
MAR2026;01/03/2026;46082;Marzo;2026;Mar-26;March;Mar-26
