Fecha;COD_PROV;Afiliados_Rég. General;Afiliados_Rég. Autónomos;Afiliados_Rég. Especial;Desempleados_Desempleados
31/01/2019;4;233472;58139;874;57526
31/01/2019;11;294095;59096;4422;155547
31/01/2019;14;248265;52044;0;69179
31/01/2019;18;266475;63052;192;82895
31/01/2019;21;175809;26989;1757;48708
31/01/2019;23;218620;40359;0;43569
31/01/2019;29;475959;115174;1115;155965
31/01/2019;41;614715;108838;366;195374
31/01/2019;22;73060;22095;0;9100
31/01/2019;44;40322;13274;53;5953
31/01/2019;50;343434;68268;21;54006
31/01/2019;33;281403;73457;2876;75781
31/01/2019;7;332044;87747;1766;60216
31/01/2019;35;355733;63418;3902;108975
31/01/2019;38;310717;61441;2544;100444
31/01/2019;39;167857;41169;1033;39556
31/01/2019;5;38157;14122;0;34972
31/01/2019;9;117859;27493;0;46875
31/01/2019;24;117418;37014;139;12933
31/01/2019;34;49454;13279;2;15374
31/01/2019;37;91214;26638;0;61302
31/01/2019;40;44920;14325;0;11850
31/01/2019;42;30411;7819;0;19328
31/01/2019;47;177680;35977;0;31898
31/01/2019;49;39046;16968;0;9755
31/01/2019;2;106483;29491;0;23558
31/01/2019;13;132255;35378;12;7218
31/01/2019;16;56087;19015;0;3756
31/01/2019;19;75674;14834;0;31744
31/01/2019;45;177659;49232;0;12221
31/01/2019;8;2172291;393271;3243;287911
31/01/2019;17;244727;61265;1056;39225
31/01/2019;25;145255;38925;1;21455
31/01/2019;43;238862;52874;1734;49785
31/01/2019;3;504656;128763;2493;154391
31/01/2019;12;191221;40449;983;38953
31/01/2019;46;814742;176350;2980;180156
31/01/2019;6;194977;48611;0;68756
31/01/2019;10;109465;31146;0;37411
31/01/2019;15;334166;85009;5772;69295
31/01/2019;27;84532;34198;1508;16936
31/01/2019;32;76729;23882;0;19361
31/01/2019;36;265397;66407;13210;69208
31/01/2019;28;2763670;398408;3897;350606
31/01/2019;30;468233;98500;1140;106290
31/01/2019;31;231964;47553;0;33579
31/01/2019;1;135712;20444;0;20052
31/01/2019;20;248878;66701;621;68472
31/01/2019;48;388877;83993;2898;32226
31/01/2019;26;101441;26055;0;16535
31/01/2019;51;18964;3417;190;11204
31/01/2019;52;19426;4885;96;8376
31/01/2019;0;15440482;3227251;62896;3285761
28/02/2019;4;235699;58390;884;57706
28/02/2019;11;299731;59555;4758;154276
28/02/2019;14;245976;52274;0;70806
28/02/2019;18;266962;63313;193;83670
28/02/2019;21;193067;27256;1846;46459
28/02/2019;23;195055;40512;0;48819
28/02/2019;29;483761;116101;1094;155516
28/02/2019;41;616882;109337;367;196107
28/02/2019;22;74118;22103;0;8650
28/02/2019;44;40702;13267;51;5719
28/02/2019;50;344680;68294;21;52593
28/02/2019;33;282939;73415;2870;76087
28/02/2019;7;347067;88611;1830;58125
28/02/2019;35;356401;63710;3907;109668
28/02/2019;38;313095;61745;2594;99798
28/02/2019;39;168479;41143;1217;39765
28/02/2019;5;37973;14145;0;34716
28/02/2019;9;118576;27522;0;47399
28/02/2019;24;118051;37033;127;12857
28/02/2019;34;49945;13278;2;15954
28/02/2019;37;91587;26644;0;61591
28/02/2019;40;45556;14298;0;11685
28/02/2019;42;30594;7807;0;19368
28/02/2019;47;178025;35975;0;31894
28/02/2019;49;39172;17007;0;9574
28/02/2019;2;107012;29494;0;23680
28/02/2019;13;130503;35369;12;7150
28/02/2019;16;56131;18983;0;3759
28/02/2019;19;74656;14851;0;31817
28/02/2019;45;177824;49074;0;12138
28/02/2019;8;2190974;394312;3173;286865
28/02/2019;17;249593;61245;888;38905
28/02/2019;25;146407;38937;1;21394
28/02/2019;43;241389;53079;1831;49478
28/02/2019;3;510523;129548;2493;153942
28/02/2019;12;189100;40652;1222;39993
28/02/2019;46;818016;176688;3026;181462
28/02/2019;6;196704;49058;0;68013
28/02/2019;10;110507;31373;0;36620
28/02/2019;15;337041;85193;6059;68447
28/02/2019;27;85074;34075;1463;16698
28/02/2019;32;77203;23848;0;19297
28/02/2019;36;266767;66491;13347;69267
28/02/2019;28;2779857;399949;3878;354212
28/02/2019;30;474647;98957;1178;106939
28/02/2019;31;233545;47355;0;33839
28/02/2019;1;136618;20513;0;19672
28/02/2019;20;250562;66765;1014;68233
28/02/2019;48;390084;84075;2922;31958
28/02/2019;26;101706;26046;0;16324
28/02/2019;51;19104;3426;189;11369
28/02/2019;52;19492;4896;95;8767
28/02/2019;0;15545132;3236987;64552;3289040
31/03/2019;4;238521;58766;893;57249
31/03/2019;11;305448;60071;4778;152600
31/03/2019;14;246467;52558;0;71169
31/03/2019;18;269740;63815;189;83162
31/03/2019;21;213339;27542;1878;43265
31/03/2019;23;191044;40810;0;51034
31/03/2019;29;495557;117375;1088;153172
31/03/2019;41;626365;110021;394;193668
31/03/2019;22;74709;22166;0;8323
31/03/2019;44;41243;13293;50;5449
31/03/2019;50;349990;68580;21;51640
31/03/2019;33;285642;73680;2889;75124
31/03/2019;7;375920;90880;2030;54761
31/03/2019;35;360738;64024;3986;109604
31/03/2019;38;316440;62195;2664;99631
31/03/2019;39;172118;41326;1436;38704
31/03/2019;5;38568;14216;0;34311
31/03/2019;9;119559;27603;0;47527
31/03/2019;24;119639;37160;127;12748
31/03/2019;34;50545;13297;0;15797
31/03/2019;37;92554;26734;0;61490
31/03/2019;40;46153;14353;0;11508
31/03/2019;42;30955;7854;0;18984
31/03/2019;47;179229;36136;0;31156
31/03/2019;49;39790;17038;0;9277
31/03/2019;2;107956;29661;0;23405
31/03/2019;13;131262;35531;12;7105
31/03/2019;16;56497;18934;0;3736
31/03/2019;19;75957;14946;0;31622
31/03/2019;45;178577;49291;0;11974
31/03/2019;8;2209318;396221;3359;287714
31/03/2019;17;256704;61682;1188;38144
31/03/2019;25;147240;39028;1;21368
31/03/2019;43;246947;53609;1847;48514
31/03/2019;3;520554;130894;2557;151046
31/03/2019;12;191136;40981;1202;39669
31/03/2019;46;826500;178073;2938;179680
31/03/2019;6;198962;49152;0;66658
31/03/2019;10;111758;31412;0;35125
31/03/2019;15;341182;85545;5879;67394
31/03/2019;27;86050;34121;1529;16352
31/03/2019;32;77551;23893;0;19265
31/03/2019;36;270543;66820;13500;67830
31/03/2019;28;2807746;402553;3937;353737
31/03/2019;30;487209;99756;1190;104780
31/03/2019;31;236868;47589;0;33693
31/03/2019;1;137711;20607;0;19439
31/03/2019;20;253673;67031;1144;67295
31/03/2019;48;393671;84357;3065;31218
31/03/2019;26;102416;26100;0;16443
31/03/2019;51;19476;3445;180;11358
31/03/2019;52;19594;4885;97;9167
31/03/2019;0;15773331;3257610;66048;3255084
30/04/2019;4;236336;58981;906;56798
30/04/2019;11;309730;60767;4825;146745
30/04/2019;14;243647;52680;0;70161
30/04/2019;18;268774;63865;206;81227
30/04/2019;21;226286;27848;1665;40423
30/04/2019;23;189425;40977;0;50102
30/04/2019;29;503584;118206;1177;146052
30/04/2019;41;627277;110241;377;187586
30/04/2019;22;74751;22153;0;8122
30/04/2019;44;41267;13298;50;5280
30/04/2019;50;351633;66556;21;50348
30/04/2019;33;286925;73698;2808;72356
30/04/2019;7;427369;94183;2387;44730
30/04/2019;35;356527;63970;3684;109140
30/04/2019;38;314603;62294;2661;98478
30/04/2019;39;172959;41515;1468;36658
