COD_PROV;NombreProv;COD_CCAA;NombreCCAA;Zona;#POB;#SUP
0;Total Nacional;0;Total Nacional;Total;47100396;505990
4;Almería;1;Andalucía;Sur;710808;8775
11;Cádiz;1;Andalucía;Sur;1251149;7440
14;Córdoba;1;Andalucía;Sur;784300;13771
18;Granada;1;Andalucía;Sur;921511;12647
21;Huelva;1;Andalucía;Sur;526525;10128
23;Jaén;1;Andalucía;Sur;630027;13496
29;Málaga;1;Andalucía;Sur;1670199;7306
41;Sevilla;1;Andalucía;Sur;1952042;14036
22;Huesca;2;Aragón;Este;219788;15636
44;Teruel;2;Aragón;Este;133071;14810
50;Zaragoza;2;Aragón;Este;971538;17274
33;Asturias;3;Asturias;Norte;1019993;10604
7;Illes Balears;4;Illes Balears;Este;1198576;4992
35;Las Palmas;5;Islas Canarias;Sur;1144151;4066
38;S.C.Tenerife;5;Islas Canarias;Sur;1076119;3381
39;Cantabria;6;Cantabria;Norte;581949;5321
5;Ávila;7;Castilla y León;Oeste;158966;8050
9;Burgos;7;Castilla y León;Oeste;355420;14292
24;León;7;Castilla y León;Oeste;460415;15581
34;Palencia;7;Castilla y León;Oeste;160280;8052
37;Salamanca;7;Castilla y León;Oeste;331382;12350
40;Segovia;7;Castilla y León;Oeste;154084;6921
42;Soria;7;Castilla y León;Oeste;89612;10306
47;Valladolid;7;Castilla y León;Oeste;520197;8111
49;Zamora;7;Castilla y León;Oeste;172522;10561
2;Albacete;8;Castilla-La Mancha;Centro;389584;14924
13;Ciudad Real;8;Castilla-La Mancha;Centro;494224;19813
16;Cuenca;8;Castilla-La Mancha;Centro;199178;17140
19;Guadalajara;8;Castilla-La Mancha;Centro;260441;12214
45;Toledo;8;Castilla-La Mancha;Centro;695013;15370
8;Barcelona;9;Cataluña;Este;5607829;7728
17;Girona;9;Cataluña;Este;761434;5910
25;Lleida;9;Cataluña;Este;432673;12172
43;Tarragona;9;Cataluña;Este;807563;6303
3;Alicante;10;Comunidad Valenciana;Este;1873295;5817
12;Castellón;10;Comunidad Valenciana;Este;572929;6662
46;Valencia;10;Comunidad Valenciana;Este;2552487;10776
6;Badajoz;11;Extremadura;Oeste;671079;21766
10;Cáceres;11;Extremadura;Oeste;391718;19868
15;A Coruña;12;Galicia;Norte;1121428;7951
27;Lugo;12;Galicia;Norte;328750;9856
32;Ourense;12;Galicia;Norte;306789;7273
36;Pontevedra;12;Galicia;Norte;941797;4495
28;Madrid;13;Comunidad de Madrid;Centro;6685471;8028
30;Murcia;14;Región de Murcia;Sur;1494442;11314
31;Navarra;15;Navarra;Norte;652526;10391
1;Álava;16;País Vasco;Norte;328571;3037
20;Gipuzkoa;16;País Vasco;Norte;714477;1980
48;Bizkaia;16;País Vasco;Norte;1138871;2217
26;La Rioja;17;La Rioja;Norte;314487;5045
51;Ceuta;18;Ceuta;Sur;84434;20
52;Melilla;19;Melilla;Sur;84286;12
